(変更しないでください) 取引先企業,(変更しないでください) 行チェックサム,(変更しないでください) 修正日,企業名,住所,社員数,資本金,企業カナ,企業名（英語）,検索文字列（略称可）,営業担当者,休眠顧客,取引先状況
d49841f3-b207-eb11-a812-000d3a51d92b,PtvDSUKLNx+vwu+ikXFkknBcEWNfHh+80Y2trp4jdHhyle1t/CZ4k0uAtN4EsXQt1qOdhV/VZFW+nk1YE5ZpRg==,2020/10/6 9:10,oldings Inc.,,,,,,,サイン #,いいえ,
44fee3f8-7370-ea11-a811-000d3a51d17e,bTC5N4gX9OwendxYV8/orGVnakDgsyFk6COLAEwY/ZwGG2ifUWUdN/T7hxFqrk8qJ9dN9WQQYONuirW8m1L8BA==,2020/3/27 21:43,arketing Solutions Inc.,,,,,,,サイン #,いいえ,
baece9a3-871e-eb11-a813-000d3a51d17e,lOwMPIpo6v25mC3B0GLfm7/DRd8kWFGXWHEGhXwLSE7ioBF4AbMR70gngOeTZSdNt39/K7qeP7nIY35u1li9dQ==,2020/11/12 21:34,マーケティングインターナショナルジャパンリミテッド,東京都千代田区内幸町2丁目2番3号日比谷国際ビル4階,,,ングインターナショナルジャパンリミテッド,,, 鴻貴,いいえ,
53571105-33aa-e711-811e-c4346bc53068,Elsb4hYJAarrjHrdqHjVdSdhG2EIkLrtcqLmBHMmJPjvSp4pO5Y72UDu4PhoF923XR7Q8eGLIqDY1ypqn+qLVg==,2017/10/6 1:24, Systems Incorporated,,,,テムズシャ,Adobe Systems Incorporated,,サイン #,いいえ,
65461105-33aa-e711-811e-c4346bc53068,Mtu8aOx7WdKHefXeYx5I9q8URDTaZZcDpcLkYt8oDA40gFD3siUqAP9bbwOhAHv/hXzOkc7eDvbYPbfclQUL2Q==,2017/10/6 1:18, Systems Software Ireland Limited,,,, Systems Software Ireland Limited,,,サイン #,いいえ,
7a08e1cb-35aa-e711-811e-c4346bc510bc,aF4mfveMcRit6nRInz1kS3FyJrWubHPY3FPh09yoMF4waj0OBXxO9efWioZPKeh2IuQuYkD/j2ak9mQ+Cv97IA==,2020/11/12 21:21,ced Digital Solutions International Inc.,,,,リューションズ,Advanced Digital Solutions International Inc.,,サイン #,はい,休眠
7d571105-33aa-e711-811e-c4346bc53068,WgbvrY2FVl/dWbx1eTPWWgPByCBrwfHpPOPI2gmQ2yoAgsd78Uw7s7FGNrem6wzN0uy9co8P1Sz9kH6nEfKIyg==,2019/8/21 15:04,CED ENERGY INDUSTRIES,,,,ドエナジーインダストリー,ADVANCED ENERGY INDUSTRIES,AEIS, 袈琳,いいえ,
55461105-33aa-e711-811e-c4346bc53068,Uzv0lITqUAk2fXOIHY/KJR8iUhwK6nV3Z6xr87FUwD+Vb+SdBku5QHZ+tA/xJU+2QYR9Mf64qozLmZXHfn5gaA==,2020/11/12 21:30,CED ENERGY JAPAN K.K.,,,,ドエナジージャパン,ADVANCED ENERGY JAPAN K.K.,AEJ, 袈琳,いいえ,
8715e1cb-35aa-e711-811e-c4346bc510bc,jkLacNgxKLscum9rN2xOpEe2iiZ8aZGWlxzPl2IF/YZVH0vqce8cJbuSabaHHBF+Wpsg2xLq3UJ4y9oo8igAqQ==,2019/1/24 10:15,udio Inc.,,,,udio Inc.,Adxstudio Inc.,,サイン #,いいえ,
ce06e1cb-35aa-e711-811e-c4346bc510bc,tyZOx7J98f6Bevx+jYlIXHw5PQH+4/iSexE9VyJF4QPemkMNElbQSF/F4UFZlLX6bqjNAXH/W+7vljhC0tiYzQ==,2019/8/21 15:04,"ion Pharmaceuticals, Inc.",,,,オンファーマシューティカルズ,"Aegerion Pharmaceuticals, Inc.",, Alpha俊徳,いいえ,
