(変更しないでください) JBSサービス,(変更しないでください) 行チェックサム,(変更しないでください) 修正日,サービスNo.,サービス名,サブスクリプション種別,カテゴリ
335bfd1e-403b-e911-a971-000d3a51ce98,xOEtpzgOD50XAQsCFTNEs06d1GWF+Qd+xSyUvj3Fi0yvjWCfCR4oL0DDQch9xQrPXO0+nUyh2I1jkJ7TufrCbQ==,2020/10/27 6:43,S0033,Form-Waks（Form-WritingAutoKeySignal）サービス,非サブスクリプション,
355bfd1e-403b-e911-a971-000d3a51ce98,SWiv5+0JRvHdI07JHreobd3tag63nOBiT3u6qIsJsSNT/yY9kbjumUIi/rl6/dcSHLfre48H6VJvEsSvGfXLVA==,2020/10/27 6:43,S0034,HPE SimpliVity 380 Backup & DR ソリューション,非サブスクリプション,
375bfd1e-403b-e911-a971-000d3a51ce98,QafyNC+bJPm63pXvV+PvYsn1cNiT5sZbfaG0ZB+8/gPULCbPTIzEqIRfi5/2QNITtxwpjfDQLnbB92EK1y4K/g==,2020/10/27 6:43,S0035,ID Link for Dynamics CRM Online @Azure,非サブスクリプション,
395bfd1e-403b-e911-a971-000d3a51ce98,2jXYKD6emeBnMquUxYupeKqCuIZUixKDOHPXw0KYmEpa9AzBKiYKCylAY8xcuJrYGK0n2aWCqM7apXdbZWBxgw==,2020/10/27 6:43,S0036,ITIL Foundation 認定資格トレーニングコース,非サブスクリプション,
3b5bfd1e-403b-e911-a971-000d3a51ce98,it21Aj8oJk5UHrurOWD1a74fS99Sp/xfdpsx6zYEVtJJm+YLXcCZI2QFp5YCLJs2I/0eDZPpA1Eu/8zoVN/j+g==,2020/10/27 6:43,S0037,IT診断サービス,非サブスクリプション,
3d5bfd1e-403b-e911-a971-000d3a51ce98,Q+7bFd1JXN+L2wmqJiJDMkBHbm0miQsQXEBVe5gJ1f1rI8QsdjsuoIfmbVTcu38CDrh5kW0oPeNup4ZqZIZEyw==,2020/10/27 6:43,S0038,JBS エンゲージメントポータル with 代理店,非サブスクリプション,
3f5bfd1e-403b-e911-a971-000d3a51ce98,PAe9nj4arg5PoEeL/DxMbzUflXMkN9kMW/lR7VNNPC6K1U8EcLFhrH1ePwJezi/w2AU/Nn5OMkFM2NrNnOn09w==,2020/10/27 6:43,S0039,Managed Endpoint,サブスクリプション,
415bfd1e-403b-e911-a971-000d3a51ce98,Wsy5HLLn908gPWE/v0GgWQtPbYjDgJyzTTgGki3bQ73snDFibXE+dcuPQRzaPqPVSql6nmjL6vegqmb6qXqzGQ==,2020/10/27 6:43,S0040,Microsoft Azure Stack トータルソリューション,非サブスクリプション,
435bfd1e-403b-e911-a971-000d3a51ce98,aXPTib/F8FW71YaG30K3J840WYX2cnhBFZSfTn4s8UIJvWtXmbeZ4hqdyWae758sX8aY1g9te9a1EaYxjAKgRg==,2020/10/27 6:43,S0041,Microsoft Azureクラウドファイルサーバー,非サブスクリプション,
455bfd1e-403b-e911-a971-000d3a51ce98,/7sNIgClX9w2FzG508U/xBkS6T04ena0OcI3J/Wh2vf3DgUqKxyu4hBoNOYPxcwQwGMMyMSgyn1ibADBPKKThQ==,2020/10/27 6:43,S0042,Microsoft Dynamics AX 10日間速習プログラム,非サブスクリプション,
475bfd1e-403b-e911-a971-000d3a51ce98,jZmnpqMd+zOdYUIGr1epQbvnJF5knx7vxiFtnCPENCk7YJ61Hl+QZMUAe0o8yDrOaZs4XpUF/XviuyxmUNlnGA==,2020/10/27 6:43,S0043,Microsoft Dynamics AX 短期導入支援サービス,非サブスクリプション,
495bfd1e-403b-e911-a971-000d3a51ce98,tdaOMkdNEu/cDz2O0+GZX6zyY/nVe/Y/TKh4/LyrVSDG5dUBdM0yD1NYD8OPvPr1obsv5J62GF4M4KCS4yHQdA==,2020/10/27 6:43,S0044,Microsoft Dynamics NAV on Azure,非サブスクリプション,
4b5bfd1e-403b-e911-a971-000d3a51ce98,WEH5bE8NCLIYRk5IzwyeS2rjGdlLMQlo9dKNOhK12RKKW+lLiKD9XMezCnlY6iWjloeSaa6rCpH3SvxRArJbZg==,2020/10/27 6:43,S0045,Microsoft HoloLens 導入支援サービス,非サブスクリプション,
